,date,portfolio_value,daily_pnl,num_positions
240,2022-12-15,-13.490325803268671,0.1152459802886789,1
241,2022-12-16,-13.487251279788564,0.003074523480107338,1
242,2022-12-19,-13.445242368484083,0.04200891130448167,1
243,2022-12-20,-13.39366084863538,0.051581519848704155,1
244,2022-12-21,-13.229843725569012,0.16381712306636845,1
245,2022-12-22,-13.129338455433011,0.10050527013600144,1
246,2022-12-23,-12.882976343620506,0.24636211181250553,1
247,2022-12-27,-12.621173646336246,0.2618026972842601,1
248,2022-12-28,-12.415987688348201,0.20518595798804434,1
249,2022-12-29,-12.26129875589271,0.15468893245549006,1
250,2022-12-30,-11.938543120117819,0.3227556357748917,1
251,2023-01-03,-11.797058233305584,0.141484886812234,1
252,2023-01-04,-11.848141974959047,-0.05108374165346311,1
253,2023-01-05,-13.361193232895506,-1.513051257936458,1
254,2023-01-06,-13.340385094535842,0.020808138359663275,1
255,2023-01-09,-14.874335682077012,-1.533950587541171,1
256,2023-01-10,-14.811056664741258,0.0632790173357539,1
257,2023-01-11,-14.60346183405161,0.20759483068964965,1
258,2023-01-12,-14.323337186310559,0.2801246477410501,1
259,2023-01-13,-13.980578167797937,0.3427590185126223,1
260,2023-01-17,-13.61203469166024,0.36854347613769717,1
261,2023-01-18,-13.301808527504903,0.3102261641553363,1
262,2023-01-19,-12.939031931300224,0.36277659620467884,1
263,2023-01-20,-12.51390167222547,0.4251302590747536,1
264,2023-01-23,-12.07612109080791,0.4377805814175605,1
265,2023-01-24,-11.748148442798502,0.3279726480094069,1
266,2023-01-25,-11.429529375129796,0.31861906766870557,1
267,2023-01-26,-11.060942247775332,0.3685871273544637,1
268,2023-01-27,-10.738273079139292,0.3226691686360389,1
269,2023-01-30,-10.496804694883133,0.24146838425615855,1
270,2023-01-31,-10.277113403915271,0.21969129096786263,1
271,2023-02-01,-10.126430986572476,0.1506824173427941,1
272,2023-02-02,-10.003729106930164,0.12270187964231291,1
273,2023-02-03,-9.967250580938826,0.03647852599133772,1
274,2023-02-06,-11.391152175009399,-1.423901594070574,1
275,2023-02-07,-13.094946781533686,-1.7037946065242877,1
276,2023-02-08,-12.791033924474288,0.3039128570593982,1
277,2023-02-09,-12.52284005034249,0.268193874131798,1
278,2023-02-10,-12.17036760881411,0.3524724415283785,1
279,2023-02-13,-11.817645762060813,0.35272184675329793,1
280,2023-02-14,-11.521381662176282,0.2962640998845324,1
281,2023-02-15,-11.241297428302156,0.2800842338741251,1
282,2023-02-16,-10.97826985616361,0.26302757213854605,1
283,2023-02-17,-10.81063509487552,0.16763476128808968,1
284,2023-02-21,-10.643506892155301,0.16712820272022008,1
285,2023-02-22,-10.578012534728263,0.06549435742703805,1
286,2023-02-23,-11.948231651642018,-1.3702191169137548,1
287,2023-02-24,-13.637938950846362,-1.6897072992043436,1
288,2023-02-27,-13.458183386806972,0.1797555640393902,1
289,2023-02-28,-13.20718434744553,0.25099903936144147,1
290,2023-03-01,-12.939796555959516,0.267387791486014,1
291,2023-03-02,-12.65619579832004,0.28360075763947684,1
292,2023-03-03,-12.326891134284237,0.32930466403580244,1
293,2023-03-06,-11.98976673760085,0.33712439668338773,1
294,2023-03-07,-11.793479470043014,0.19628726755783601,1
295,2023-03-08,-11.628627591910227,0.16485187813278598,1
296,2023-03-09,-11.513342514618943,0.11528507729128519,1
297,2023-03-10,-11.347158538084813,0.16618397653412958,1
298,2023-03-13,-11.27000705498844,0.07715148309637251,1
299,2023-03-14,-11.335503804016545,-0.06549674902810444,1
